abctje,abc'tje
napoletanos,napoletano's
prophecys,prophecy's
storys,story's
kai-sjek,K'ai-Sjek
amser,ams'er
aover,AOV'er
bser,BS'er
lloyds-lid,Lloyd's-lid
chef-doeuvre,chef-d'oeuvre
ex-ptter,ex-PTT'er
ftpen,ftp'en
juffertje-in-t-groen,juffertje-in-'t-groen
jump-n-jive,jump-'n-jive
jump-n-jivemuziek,jump-'n-jivemuziek
kvver,kvv'er
loop-in-t-lĳntje,loop-in-'t-lĳntje
res,re's
rock-n-rollen,rock-'n-rollen
ĳtje,Ĳ'tje
danvers,d'anvers
ahuis,Ahuis'
annemas,Annema's
at-amands,At-Amands'
ax,Ax'
bergh,Bergh'
boss,Boss'
both,Both'
claes,Claes'
compas,Compas'
dams,Dams'
daos,Dao's
days,Day's
dooms,Dooms'
duis,Duis'
est-amands,Est-Amands'
et-amands,Et-Amands'
fens,Fens'
fritz,Fritz'
fus,Fu's
gos,Go's
guis,Guis'
has,Ha's
hirs,Hirs'
hus,Hu's
iz,IZ'
jamas,Jama's
jonges,Jonges'
jongh,Jongh'
khos,Kho's
kraus,Kraus'
kuos,Kuo's
lys,Ly's
ms-organisaties,M'S-organisaties
minas,MINA'S
mays,May's
meens,Meens'
mols,Mols'
mous,Mous'
nabis,Nabi's
najis,Naji's
ot-amands,Ot-Amands'
phs,PH's
palas,Pala's
palmas,Palma's
paulis,Pauli's
paulys,Pauly's
ramas,Rama's
res,Re's
renders,Renders'
s-amands,S-Amands'
sp-amands,SP-Amands'
ss-amands,SS-Amands'
saas,Saas'
salas,Sala's
sat-amands,Sat-Amands'
set-amands,Set-Amands'
sf-amands,Sf-Amands'
si-amands,Si-Amands'
sos,So's
so-amands,So-Amands'
stas,Stas'
storys,Story's
su-amands,Su-Amands'
t-amands,T-Amands'
vargas,Varga's
vegas,Vega's
vens,Vens'
vons,Vons'
vus,Vu's
wus,Wu's
xus,Xu's
bennis,Bennis'
fennis,Fennis'
slaats,Slaats'
jansz,Jansz'
gerlach,Gerlach'
neslos,Neslo's
wegh,Wegh'
bingos,Bingo's
tates,Tates'
es-gebieden,E'S-gebieden
hertmans,Hertmans'
heimans,Heimans'
heymans,Heymans'
germans,Germans'
mermans,Mermans'
herremans,Herremans'
heeremans,Heeremans'
hirsch,Hirsch'
elisabeth,Elisabeth'
heuts,Heuts'
kros,Kros'
vrĳs,Vrĳs'
elmis,Elmi's
